enginedId,internalID,manufacturerId,name,description,startDate,endDate
31899,25563,3854,138 AR1.000,,null,null
31901,25564,3854,138 AR2.000,,null,null
35088,25565,3854,198 A1.000,,null,null
31897,25566,3854,199 A8.000,,null,null
31895,25567,3854,312 A1.000,,null,null
31896,25568,3854,312 A3.000,,null,null
32779,25569,3854,312 A9.000,,null,null
33162,25570,3854,312 B3.000,,null,null
33163,25571,3854,312 B4.000,,null,null
33597,25572,3854,312 B6.000,,null,null
33687,25573,3854,55253268,,null,null
31898,25574,3854,955 A8.000,,null,null
21675,19390,609,LO6,,null,null
26404,19391,609,LS3,6.2L Gen IV V8 Small Block,null,null
26407,19392,609,LS9 (6_2L),,null,null
21668,19393,609,99E,,null,null
21671,19394,609,99F,,null,null
19464,19395,609,99H,,null,null
21674,19396,609,99UM,,null,null
31949,21554,1505,B17A1,,null,null
29458,21555,1505,B18A1,,null,null
20343,21556,1505,B18B1,,null,null
31962,21557,1505,B18C5,,null,null
33645,21558,1505,B18C6,,null,null
3,21559,1505,B18E,,null,null
26090,21560,1505,C20A,,null,null
25565,21561,1505,C25A1,,null,null
4,21562,1505,C27A1,,null,null
20485,21563,1505,C30A3,,null,null
20486,21564,1505,C30A4,,null,null
5,21565,1505,C32A,,null,null
31963,21566,1505,C32A1,,null,null
21677,21567,1505,C32A2,,null,null
25566,21568,1505,C32A6,,null,null
31950,21569,1505,C32B1,,null,null
20487,21570,1505,C32B2,,null,null
31139,21571,1505,C35A1,,null,null
19788,21572,1505,C35A2,,null,null
19789,21573,1505,C35A5,,null,null
21151,21574,1505,C35A8,,null,null
21680,21575,1505,D15A1,,null,null
25567,21576,1505,D16A1,,null,null
33644,21577,1505,D16A2,,null,null
22424,21578,1505,D16A3,,null,null
21682,21579,1505,D16A8,,null,null
29456,21580,1505,D16Y8,,null,null
29457,21581,1505,D17A2,,null,null
19790,21582,1505,F18A2,,null,null
19791,21583,1505,F18C1,,null,null
19792,21584,1505,F18C2,,null,null
25568,21585,1505,F22B1,,null,null
19793,21586,1505,F22B2,,null,null
19794,21587,1505,F23A7,,null,null
19795,21588,1505,G25A,,null,null
19796,21589,1505,G32A,,null,null
33034,21590,1505,JNB1,,null,null
19797,21591,1505,J30A1,,null,null
31475,21592,1505,J30Y1,,null,null
19798,21593,1505,J32A1,,null,null
25569,21594,1505,J32A2,,null,null
19799,21595,1505,J32A4,,null,null
19800,21596,1505,J32A5,,null,null
19801,21597,1505,J35A1,,null,null
26660,21598,1505,J35A3,,null,null
19802,21599,1505,J35A4,,null,null
25570,21600,1505,J35A5,,null,null
21686,21601,1505,J35A6,,null,null
29235,21602,1505,J35A8,,null,null
29562,21603,1505,J35Y4,,null,null
31472,21604,1505,J35Y5,,null,null
31845,21605,1505,J35Y6,,null,null
29460,21606,1505,J35Z2,,null,null
26562,21607,1505,J35Z6,,null,null
31483,21608,1505,J37A1,,null,null
21687,21609,1505,J37A2,,null,null
29616,21610,1505,J37A4,,null,null
31476,21611,1505,J37A5,,null,null
19803,21612,1505,K20A,,null,null
31141,21613,1505,K20A2,,null,null
19804,21614,1505,K20A3,,null,null
21692,21615,1505,K20A8,,null,null
29455,21616,1505,K20Z2,,null,null
31137,21617,1505,K23A1,,null,null
19805,21618,1505,K24A2,,null,null
33444,21619,1505,K24V7,,null,null
29739,21620,1505,K24W7,,null,null
26561,21621,1505,K24Z3,,null,null
29517,21622,1505,K24Z7,,null,null
30781,21623,1505,LEA2,,null,null
29461,21624,1505,R20A5,,null,null
21695,21625,1505,R23A2,,null,null
29459,21626,1505,6 VE1,,null,null
19787,21627,1505,6VD1,,null,null
35351,26017,4593,K24U1,,null,null
35514,26018,4593,LFA11,,null,null
33614,26019,4593,L15B9,,null,null
7,0,1,4.107,,null,null
8,1,1,4.108,,null,null
6335,18108,127,6.98 (NV),,null,null
27914,25247,3701,66 CTA (12V),,null,null
27915,25248,3701,66 CTA (24V),,null,null
27916,25249,3701,74 CTA (12V),,null,null
27917,25250,3701,74 CTA (24V),,null,null
26025,25251,3701,84 CTA,,null,null
12,18109,128,D 229-3,,null,null
13,18110,128,D 229-4,,null,null
31641,18111,128,M 790,,null,null
14,18112,128,Q 20 B 4236,,null,null
32396,18113,128,4.07 TCA,,null,null
31025,21286,1480,LGW 523,,null,null
30810,21287,1480,LWG 523,,null,null
22425,21288,1480,Z 482,,null,null
34285,21289,1480,Z402,,null,null
30809,21290,1480,Z602,,null,null
16,18114,130,XDP 4.88,,null,null
17,18115,130,XDP 4.90,,null,null
26422,2,2,AR 00112,,null,null
26423,3,2,AR 00121,,null,null
26383,4,2,AR 00204,,null,null
26384,5,2,AR 00205,,null,null
21701,6,2,AR 00500,,null,null
21702,7,2,AR 00501,,null,null
21704,8,2,AR 00502,,null,null
21705,9,2,AR 00504,,null,null
26425,10,2,AR 00506,,null,null
21709,11,2,AR 00508,,null,null
21711,12,2,AR 00510,,null,null
75,13,2,AR 00512,,null,null
21712,14,2,AR 00514,,null,null
21,15,2,AR 00515,,null,null
26424,16,2,AR 00516,,null,null
22,17,2,AR 00526,,null,null
5344,18,2,AR 00526 S,,null,null
23,19,2,AR 00530,,null,null
24,20,2,AR 00536,,null,null
18,21,2,AR 00548,,null,null
31965,22,2,AR 00564,,null,null
26426,23,2,AR 00601,,null,null
27,24,2,AR 01212,,null,null
5343,25,2,AR 01354,,null,null
28,26,2,AR 01544,,null,null
29,27,2,AR 01563,,null,null
30,28,2,AR 01588,,null,null
31,29,2,AR 01590,,null,null
32,30,2,AR 01600,,null,null
5340,31,2,AR 01608,,null,null
33,32,2,AR 01608 X,,null,null
21716,33,2,AR 01615,,null,null
34,34,2,AR 01623,,null,null
31951,35,2,AR 01629,,null,null
35,36,2,AR 01644,,null,null
36,37,2,AR 01646,,null,null
10150,38,2,AR 01648,,null,null
37,39,2,AR 01655,,null,null
38,40,2,AR 01678,,null,null
40,41,2,AR 01699,,null,null
41,42,2,AR 01713,,null,null
42,43,2,AR 01911,,null,null
43,44,2,AR 01913,,null,null
44,45,2,AR 01928,,null,null
46,46,2,AR 01932,,null,null
47,47,2,AR 06100,,null,null
48,48,2,AR 06120,,null,null
49,49,2,AR 06124,,null,null
50,50,2,AR 06134,,null,null
52,51,2,AR 06158,,null,null
53,52,2,AR 06166,,null,null
54,53,2,AR 06168,,null,null
55,54,2,AR 06202,,null,null
56,55,2,AR 06210,,null,null
57,56,2,AR 06212,,null,null
58,57,2,AR 06224,,null,null
59,58,2,AR 06410,,null,null
61,59,2,AR 06412,,null,null
62,60,2,AR 06416,,null,null
63,61,2,AR 06420,,null,null
64,62,2,AR 06430,,null,null
65,63,2,AR 06476,,null,null
29615,64,2,AR 10502,,null,null
5351,65,2,AR 10512,,null,null
10270,66,2,AR 10520,,null,null
10271,67,2,AR 10525,,null,null
10127,68,2,AR 10527,,null,null
21724,69,2,AR 10531,,null,null
21725,70,2,AR 10534,,null,null
21726,71,2,AR 10538,,null,null
5350,72,2,AR 10548,,null,null
21727,73,2,AR 10632,,null,null
10087,74,2,AR 10832,,null,null
22398,75,2,AR 11633,,null,null
68,76,2,AR 11634,,null,null
69,77,2,AR 11642,,null,null
22399,78,2,AR 11644,,null,null
23341,79,2,AR 11650,,null,null
23342,80,2,AR 11655,,null,null
70,81,2,AR 11671,,null,null
23343,82,2,AR 11900,,null,null
4187,83,2,AR 16101,,null,null
5495,84,2,AR 16102,,10/1/1996,null
15970,85,2,AR 16105,,null,null
23347,86,2,AR 16199,,null,null
4188,87,2,AR 16201,,null,null
4189,88,2,AR 16202,,null,null
23344,89,2,AR 19510,,null,null
23345,90,2,AR 19520,,null,null
76,91,2,AR 30100,,null,null
5335,92,2,AR 30102,,null,null
5336,93,2,AR 30102 S,,null,null
77,94,2,AR 30104,,null,null
78,95,2,AR 30124,,null,null
79,96,2,AR 30128,,null,null
10131,97,2,AR 30143,,null,null
80,98,2,AR 30146,,null,null
81,99,2,AR 30160,,null,null
82,100,2,AR 30164,,null,null
83,101,2,AR 30168,,null,null
84,102,2,AR 30180,,null,null
10128,103,2,AR 30182,,null,null
85,104,2,AR 30184,,null,null
86,105,2,AR 30198,,null,null
87,106,2,AR 30500,,null,null
88,107,2,AR 30502,,null,null
89,108,2,AR 30504,,null,null
90,109,2,AR 30508,,null,null
6373,110,2,AR 30514,,null,null
91,111,2,AR 30520,,null,null
4186,112,2,AR 30550,,null,null
93,113,2,AR 30558,,null,null
95,114,2,AR 30578,,null,null
10129,115,2,AR 30585,,null,null
96,116,2,AR 30586,,null,null
