id	name	isoCode	locale	flagEmoji
1	English	en	en-EN	🇺🇸
2	French	fr	fr-FR	🇫🇷
3	German	de	de-DE	🇩🇪
4	Italian	it	it-IT	🇮🇹
5	Spanish	es	es-ES	🇪🇸
6	Dutch	nl	nl-NL	🇳🇱
7	Danish	da	da-DA	🇩🇰
8	Swedish	sv	sv-SV	🇸🇪
9	Norwegian	no	no-NO	🇳🇴
10	Finnish	fi	fi-FI	🇫🇮
11	Hungarian	hu	hu-HU	🇭🇺
12	Portuguese	pt	pt-PT	🇵🇹
13	Slovak	sk	sk-SK	🇸🇰
14	Czech	cs	cs-CS	🇨🇿
15	Polish	pl	pl-PL	🇵🇱
16	Greek	el	el-EL	🇬🇷
17	Turkish	tr	tr-TR	🇹🇷
18	Croatian	hr	hr-HR	🇭🇷
19	Serbian	sr	sr-SR	🇷🇸
20	Bulgarian	bg	bg-BG	🇧🇬
21	Latvian	lv	lv-LV	🇱🇻
22	Lithuanian	lt	lt-LT	🇱🇹
23	Estonian	et	et-ET	🇪🇪
24	Slovenian	sl	sl-SL	🇸🇮
25	Icelandic	is	is-IS	🇮🇸
