manufacturerId,modelName,isPassengerCar,isCommercialVehicle,isMotorbike,isLCV,isDriverCab,IsAxle,IsEngine,isBus,isAftermarket,isTractor,isVirtualOEM,description,image
8232,212,1,0,0,0,0,0,1,0,0,0,0,212,212
3854,ABARTH,1,0,0,0,0,0,1,0,0,0,0,ABARTH,ABARTH
609,AC,1,0,0,0,0,0,1,0,0,0,0,AC,AC
1505,ACURA,1,0,0,0,0,0,1,0,0,0,0,ACURA,ACURA
4593,ACURA (GAC),1,0,0,0,0,0,1,0,0,0,0,ACURA (GAC),ACURA
6883,ADDAX,1,0,0,1,0,0,1,0,0,0,0,ADDAX,ADDAX
5487,AEOLUS,1,0,0,0,0,0,1,0,0,0,0,AEOLUS,AEOLUS
128,AGRALE,1,1,1,1,0,0,1,0,0,0,0,AGRALE,AGRALE
6465,AITO,1,0,0,0,0,0,1,0,0,0,0,AITO,AITO
5500,AIWAYS,1,0,0,0,0,0,1,0,0,0,0,AIWAYS,AIWAYS
1480,AIXAM,1,0,0,0,0,0,1,0,0,0,0,AIXAM,AIXAM
2,ALFA ROMEO,1,0,0,0,0,0,1,0,0,0,0,ALFA ROMEO,ALFA-ROMEO
4414,ALPHEON,1,0,0,0,0,0,1,0,0,0,0,ALPHEON,ALPHEON
866,ALPINA,1,0,0,0,0,0,1,0,0,0,0,ALPINA,ALPINA
810,ALPINE,1,0,0,0,0,0,1,0,0,0,0,ALPINE,ALPINE
4730,ALVIS,1,0,0,0,0,0,1,0,0,0,0,ALVIS,ALVIS
2775,AM GENERAL,1,0,0,0,0,0,1,0,0,0,0,AM GENERAL,AM-GENERAL
2246,AMC,1,0,0,0,0,0,1,0,0,0,0,AMC,AMC
3526,ANADOL,1,0,0,0,0,0,1,0,0,0,0,ANADOL,ANADOL
2847,ANCHI,1,0,0,0,0,0,1,0,0,0,0,ANCHI,ANCHI
3971,ANDORIA,1,0,0,0,0,0,1,0,0,0,0,ANDORIA,ANDORIA
2848,ANFINI,1,0,0,0,0,0,1,0,0,0,0,ANFINI,ANFINI
5479,ANKAI,1,1,0,1,0,0,1,1,0,0,0,ANKAI,ANKAI
5136,APOLLO,1,0,0,0,0,0,1,0,0,0,0,APOLLO,APOLLO
5891,ARCFOX,1,0,0,0,0,0,1,0,0,0,0,ARCFOX,ARCFOX
4406,ARIEL,1,0,0,0,0,0,1,0,0,0,0,ARIEL MOTORCYCLES,ARIEL-MOTORCYCLES
2526,ARMSTRONG SIDDELEY,1,0,0,0,0,0,1,0,0,0,0,ARMSTRONG SIDDELEY,ARMSTRONG-SIDDELEY
1360,ARO,1,0,0,0,0,0,1,0,0,0,0,ARO,ARO
8126,ARROW MOBILITY,1,0,0,1,0,0,1,0,0,0,0,ARROW MOBILITY,ARROW-MOBILITY
3495,ARTEGA,1,0,0,0,0,0,1,0,0,0,0,ARTEGA,ARTEGA
2241,ASHOK LEYLAND,1,1,0,1,0,0,1,0,0,0,0,ASHOK LEYLAND,ASHOK-LEYLAND
6579,ASIA CAB,1,0,0,0,0,0,0,0,0,0,0,ASIA CAB,ASIA-CAB
879,ASIA MOTORS,1,0,0,0,0,0,1,0,0,0,0,ASIA MOTORS,ASIA-MOTORS
2242,ASKAM,1,1,0,1,0,0,1,0,0,0,0,ASKAM (FARGO/DESOTO),ASKAM
881,ASTON MARTIN,1,0,0,0,0,0,1,0,0,0,0,ASTON MARTIN,ASTON-MARTIN
2706,ASÜNA,1,0,0,0,0,0,1,0,0,0,0,ASÜNA,ASÜNA
5414,ATUL,1,0,0,1,0,0,1,0,0,0,0,ATUL,ATUL
