modelId,manufacturerId,modelYearFrom,modelYearTo,modelName,isPassengerCar,isCommercialVehicle,isMotorbike,isLcv,isDriverCab,IsAxle,IsEngine,isBus,isAftermarket,isTractor,isVirtualOEM
36454,3854,3/1/2016,null,124 Spider (348_),1,0,0,0,0,0,0,0,0,1,1
14669,3854,1/1/2008,null,500 / 595 / 695 (312_),1,0,0,0,0,0,0,0,0,1,1
14670,3854,9/1/2009,null,500C / 595C / 695C (312_),1,0,0,0,0,0,0,0,0,1,1
14671,3854,12/1/2007,12/31/2012,GRANDE PUNTO (199_),1,0,0,0,0,0,0,0,0,1,1
38287,3854,7/1/2008,2/29/2012,PUNTO EVO (199_),1,0,0,0,0,0,0,0,0,1,1
14673,3854,3/1/2012,null,PUNTO (199_),1,0,0,0,0,0,0,0,0,1,1
14674,3854,11/1/1981,12/31/1987,RITMO (138A_),1,0,0,0,0,0,0,0,0,1,1
4207,609,1/1/1979,12/31/1986,ME,1,0,0,0,0,0,0,0,0,1,0
4208,609,1/1/1967,12/31/1974,428 Fastback,1,0,0,0,0,0,0,0,0,1,0
4209,609,1/1/1965,12/31/1974,428 Convertible,1,0,0,0,0,0,0,0,0,1,1
4210,609,1/1/1995,10/31/1998,ACE,1,0,0,0,0,0,0,0,0,1,1
4211,609,10/1/1998,null,ACE,1,0,0,0,0,0,0,0,0,1,1
4212,609,1/1/1992,12/31/2001,ACECA,1,0,0,0,0,0,0,0,0,1,1
4213,609,1/1/1990,null,COBRA Mk IV (291N),1,0,0,0,0,0,0,0,0,1,1
5953,1505,10/1/1996,9/30/2003,CL Coupe,1,0,0,0,0,0,0,0,0,1,0
30003,1505,9/1/2005,12/31/2010,CSX Saloon,1,0,0,0,0,0,0,0,0,1,0
30004,1505,9/1/1996,12/31/2000,EL Saloon,1,0,0,0,0,0,0,0,0,1,0
34906,1505,9/1/2000,12/31/2005,EL Saloon,1,0,0,0,0,0,0,0,0,1,0
4401,1505,1/1/1985,12/31/1990,INTEGRA Saloon,1,0,0,0,0,0,0,0,0,1,0
6041,1505,10/1/1990,12/31/1993,INTEGRA Saloon,1,0,0,0,0,0,0,0,0,1,0
6043,1505,10/1/1993,9/30/2001,INTEGRA Saloon,1,0,0,0,0,0,0,0,0,1,0
4402,1505,1/1/1985,12/31/1990,INTEGRA Hatchback,1,0,0,0,0,0,0,0,0,1,0
6040,1505,10/1/1990,9/30/1993,INTEGRA Hatchback,1,0,0,0,0,0,0,0,0,1,0
6042,1505,10/1/1993,9/30/2001,INTEGRA Hatchback,1,0,0,0,0,0,0,0,0,1,0
4403,1505,1/1/1985,12/31/1990,INTEGRA Coupe,1,0,0,0,0,0,0,0,0,1,0
6044,1505,9/1/1993,9/30/2001,INTEGRA Coupe,1,0,0,0,0,0,0,0,0,1,0
10242,1505,9/1/2012,null,ILX Saloon,1,0,0,0,0,0,0,0,0,1,0
4404,1505,1/1/1986,8/31/1991,LEGEND,1,0,0,0,0,0,0,0,0,1,0
4405,1505,1/1/1987,8/31/1991,LEGEND Coupe,1,0,0,0,0,0,0,0,0,1,0
4406,1505,8/1/1991,8/31/1996,LEGEND II,1,0,0,0,0,0,0,0,0,1,0
4407,1505,8/1/1991,8/31/1996,LEGEND II Coupe,1,0,0,0,0,0,0,0,0,1,0
6092,1505,8/1/2000,4/30/2006,MDX (YD1),1,0,0,0,0,0,0,0,0,1,0
