subModelId,modelId,manufacturerId,startDate,endDate,Description,pmv_type
16522,11502,1,1/1/1989,null,AEBI TT 40,2
16519,11502,1,1/1/1990,null,AEBI TT 50,2
16520,11502,1,1/1/1990,null,AEBI TT 60,2
16523,11502,1,1/1/1996,null,AEBI TT 70: 70S,2
16524,11502,1,1/1/1990,null,AEBI TT 80,2
16525,11502,1,1/1/1990,null,AEBI TT 80,2
16521,11502,1,1/1/1989,null,AEBI TT 90,2
16526,11502,1,1/1/1994,null,AEBI TT 95,2
19359,14315,1033,1/1/2001,12/31/2004,AGCO DT Series DT 160,2
19360,14315,1033,1/1/2002,12/31/2004,AGCO DT Series DT 180,2
19361,14315,1033,1/1/2002,12/31/2004,AGCO DT Series DT 200,2
19362,14315,1033,1/1/2002,12/31/2004,AGCO DT Series DT 225,2
19697,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.60: 6.80,2
19735,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.75,2
19736,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.95,2
19701,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.110,2
19733,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.125,2
19734,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.135,2
19737,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.150,2
19738,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.175,2
19739,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.190,2
19740,14496,4391,1/1/2005,null,AGCO ALLIS SERIE 6 6.220,2
19860,14591,128,1/1/1982,9/30/1985,AGRALE 1-Series 1100 TX,2
19861,14591,128,1/1/1982,9/30/1985,AGRALE 1-Series 1200 TX,2
19857,14591,128,10/1/1985,12/31/1995,AGRALE 1-Series 1600 A,2
21621,14591,128,10/1/1985,12/31/1995,AGRALE 1-Series 1600 A,2
19858,14591,128,10/1/1985,12/31/1995,AGRALE 1-Series 1600 DRD,2
19859,14591,128,10/1/1985,12/31/1995,AGRALE 1-Series 1600 DRS,2
19863,14591,128,9/1/1983,7/31/1985,AGRALE 1-Series 1600 DRS,2
19862,14591,128,9/1/1983,7/31/1985,AGRALE 1-Series 1600 TX,2
19864,14591,128,10/1/1988,12/31/1998,AGRALE 1-Series 1800 DRD: 1800 DRS,2
19865,14591,128,10/1/1988,12/31/1998,AGRALE 1-Series 1800 DRD: 1800 DRS,2
