subModelId,modelId,manufacturerId,startDate,endDate,Description,pmv_type
131225,38691,5063,1/1/2007,null,ADIVA MOTORCYCLES AD AD 125,3
131221,38691,5063,1/1/2008,null,ADIVA MOTORCYCLES AD AD 200,3
131224,38691,5063,1/1/2006,null,ADIVA MOTORCYCLES AD AD 250,3
131222,38691,5063,1/1/2008,null,ADIVA MOTORCYCLES AD AD 400,3
131227,38692,5063,1/1/2010,null,ADIVA MOTORCYCLES N N 125,3
131228,38693,5063,1/1/2010,null,ADIVA MOTORCYCLES R R 125,3
129920,38431,4330,1/1/2006,null,ADLY MOTORCYCLES AIR TEC Air Tec 1,3
120374,36688,4330,1/1/2007,null,ADLY MOTORCYCLES CAT Cat 50,3
120375,36688,4330,1/1/2007,null,ADLY MOTORCYCLES CAT Cat 100,3
120377,36688,4330,1/1/2007,null,ADLY MOTORCYCLES CAT Cat 125 B,3
120392,36688,4330,1/1/2007,null,ADLY MOTORCYCLES CAT Cat 125 D,3
120393,36688,4330,1/1/2007,null,ADLY MOTORCYCLES CAT Cat 125 S,3
120394,36689,4330,1/1/2007,null,ADLY MOTORCYCLES FOX Fox 50 2T,3
120395,36689,4330,1/1/2007,null,ADLY MOTORCYCLES FOX Fox 50 4T,3
120396,36690,4330,1/1/2009,null,ADLY MOTORCYCLES JET Jet 50,3
120397,36690,4330,1/1/2008,null,ADLY MOTORCYCLES JET Jet 100,3
120398,36691,4330,1/1/2008,null,ADLY MOTORCYCLES NOBLE Noble 50,3
120399,36691,4330,1/1/2008,null,ADLY MOTORCYCLES NOBLE Noble 100,3
120400,36691,4330,1/1/2008,null,ADLY MOTORCYCLES NOBLE Noble 125,3
120401,36692,4330,1/1/2007,null,ADLY MOTORCYCLES PANTHER Panther 50 2T,3
120402,36692,4330,1/1/2007,null,ADLY MOTORCYCLES PANTHER Panther 50 4T,3
120403,36693,4330,1/1/2007,null,ADLY MOTORCYCLES SILVER FOX Silver Fox 50,3
120404,36693,4330,1/1/2010,null,ADLY MOTORCYCLES SILVER FOX Silver Fox SF 50,3
120405,36693,4330,1/1/2007,null,ADLY MOTORCYCLES SILVER FOX Silver Fox 100,3
